Timestamp,gender,age,siblings,studentType,university/campus,future_ambition,maths,English,Science,Languages_Sinhala_Tamil,ICT_isStudied,aL_Stream,Combined_mathematics,Physics,Chemistry,information_technology,Biology,Agricultural_science,Languages,Engineering_Technology,Bio_System_Technology,Educational_Medium,sport_ university?,sport_school,likeToCode,Currently_staying_at,attendance_for_lectures,health,range_of_online_courses,Overall,degree_programme
31/01/2020 09:45:35,Female,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,No,Mathematics/ Physical Science,B,A,A,,,,,,,Sinhala,Badminton,Chess,Yes,Home,5,Excellent,You tube channels,5,Software Enginnering
31/01/2020 09:47:18,Male,Between 18 to 25,One,Full time student,IIT,Computer Game Developer,C,C,C,C,Yes,Technology stream,,,,S,,,,S,,Sinhala,None,Cricket,Yes,Home,5,Very good,Not done,5,Computer Science
31/01/2020 09:56:26,Male,Between 18 to 25,One,Part time student,,Sports physiotherapist ,B,C,S,A,Yes,Commerce,,,,,,,,,,Engllish,"Badminton, Cricket","Badminton, Cricket",No,Home,3,Very good,,5,Sports science 
31/01/2020 09:58:36,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,B,Yes,Mathematics/ Physical Science,S,C,C,,,,,,,Sinhala,None,"Swimming, Chess",Yes,Home,5,Very good,,5,Software Enginnering
31/01/2020 10:02:34,Female,Between 18 to 25,Three,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,B,C,C,,,,,,,Engllish,None,Chess,Yes,Hostel,4,Good,Coursera,3,Software Enginnering
31/01/2020 10:11:11,Male,Between 18 to 25,Two,Full time student,IIT,Mobile Application Developer,A,A,A,A,Yes,Didn't do als,,,,,,,,,,Engllish,None,"Swimming, Cricket",Yes,Home,2,Good,You tube channels,2,Software Enginnering
31/01/2020 10:28:20,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,A,C,,C,,,,,,Engllish,None,"Cricket, Basketball",Yes,Home,5,Good,You tube channels,5,Software Enginnering
31/01/2020 10:36:00,Female,Between 18 to 25,One,Full time student,IIT,Computer Game Developer,A,A,B,A,No,Mathematics/ Physical Science,S,S,S,,,,,,,Sinhala,Badminton,Badminton,No,Home,5,Very good,Not done,5,Software Enginnering
31/01/2020 10:47:32,Male,Between 18 to 25,One,Full time student,IIT,UI/UX Engineer,A,C,B,A,Yes,Mathematics/ Physical Science,S,S,S,,,,,,,Sinhala,None,None,Yes,Hostel,5,Very good,Udemy,4,Software Enginnering
31/01/2020 10:56:16,Female,Between 18 to 25,Two,Full time student,IIT,Computer Game Developer,A,A,A,A,Yes,A mix of subjects and streams,B,,,C,,,,,,Engllish,None,None,Yes,Home,4,Very good,You tube channels,4,Computer Science
31/01/2020 11:06:30,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,C,A,A,No,Mathematics/ Physical Science,C,C,C,,,,C,,,Tamil,Chess,"Chess, Cricket",Yes,Home,5,Very good,Not done,4,Software Enginnering
31/01/2020 11:22:13,Male,Between 18 to 25,None,Full time student,IIT,Software Engineer,A,A,A,B,Yes,Mathematics/ Physical Science,F,S,None,C,None,None,None,None,None,Engllish,None,None,Yes,Home,3,Very good,Udemy,4,Software Enginnering
31/01/2020 11:33:38,Female,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Biological Science,,C,S,,C,,A,,,Engllish,Swimming,Athletics,Yes,Home,5,Very good,You tube channels,5,Software Enginnering
31/01/2020 11:43:52,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,B,A,A,S,Yes,Biological Science,,B,C,,C,,,,,Engllish,eSports,None,Yes,Home,2,Very good,Udemy,4,Software Enginnering
31/01/2020 11:46:57,Male,Between 18 to 25,None,Full time student,IIT,Mobile Application Developer,A,A,A,A,Yes,Mathematics/ Physical Science,S,C,C,,,,,,,Sinhala,None,Swimming,No,Home,2,Good,You tube channels,3,Software Enginnering
31/01/2020 11:51:36,Male,Between 18 to 25,None,Full time student,IIT,Computer Game Developer,A,B,A,A,No,Mathematics/ Physical Science,B,B,B,,,,,,,Engllish,Basketball ,None,Yes,Home,5,Very good,You tube channels,5,Software Enginnering
31/01/2020 12:11:40,Female,Between 18 to 25,Two,Full time student,IIT,UI/UX Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,C,C,None,C,,,,,,Engllish,Athletics,Athletics,Yes,Home,4,Very good,Udemy,4,Computer Science
31/01/2020 12:18:06,Female,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Biological Science,None,C,C,A,S,,,,,Engllish,None,None,Yes,Home,4,Very good,Udemy,3,Software Enginnering
31/01/2020 12:34:41,Male,Between 18 to 25,Two,Full time student,IIT,Cyber security expert,A,B,B,A,Yes,Mathematics/ Physical Science,C,S,,B,,,,,,Sinhala,Table tennis ,Boxing,Yes,Relative's home,5,Good,Coursera,3,Software Enginnering
31/01/2020 13:30:46,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,B,S,S,,,,,,,Sinhala,"Football, Badminton",Football,Yes,Hostel,4,Good,Udemy,5,Software Enginnering
31/01/2020 13:49:24,Female,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,No,Mathematics/ Physical Science,B,B,C,,,,,,,Tamil,,,Yes,Home,5,Good,You tube channels,5,Software Enginnering
31/01/2020 14:03:39,Female,Between 18 to 25,Three,Full time student,IIT,Website Designer,C,A,B,A,No,Biological Science,,S,C,,C,,,,,Sinhala,Chess,Volleball,Yes,Home,5,Good,Not done,3,Software Enginnering
31/01/2020 14:44:16,Male,Between 18 to 25,None,Full time student,IIT,Project Manager,C,A,C,C,No,Biological Science,None,S,S,None,F,None,A,None,None,Sinhala,None,None,No,Home,4,Very good,You tube channels,4,Computer Science
31/01/2020 14:47:34,Female,Between 18 to 25,Two,Full time student,IIT,Website Designer,A,B,A,A,No,Biological Science,,C,C,,C,,,,,Sinhala,None,"Chess, Badminton",Yes,Home,4,Very good,"Udemy, You tube channels",3,Software Enginnering
31/01/2020 14:58:30,Male,Between 18 to 25,7,Full time student,IIT,Software Engineer,C,C,C,C,Yes,Technology stream,,,,C,,,,C,,Tamil,None,Cricket,Yes,Hostel,5,Excellent,"Udemy, Datacamp",5,Software Enginnering
31/01/2020 15:05:30,Female,Above 25,Two,Part time student,NSBM,Website Designer,C,B,C,B,Yes,Biological Science,None,C,S,None,C,None,None,None,None,Sinhala,None,"Swimming, Chess",Yes,Hostel,3,Very good,"Udemy, Coursera, You tube channels, Datacamp",3,Computer Science
31/01/2020 15:06:28,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,C,C,None,None,Yes,Biological Science,,S,S,,C,,,,,Engllish,,,Yes,Home,5,Excellent,You tube channels,4,Software Enginnering
31/01/2020 15:11:33,Male,Under 18,One,Part time student,SLIIT,Event marketing specialist,B,A,C,B,Yes,Arts,None,None,None,B,None,None,A,None,None,Engllish,Swimming,Cricket,No,Hostel,3,Very good,"Udemy, You tube channels",3,Business Management
